Reference, Value, Footprint, Datasheet, Field4, Field5, Field6, manf#, Field7, Field8, Field9, Field10, Field11
L2,OSHW,ultim8x8_libs:OSHW_6mm,
L3,Wyolum,ultim8x8_libs:logo_wyo_butterfly,
P1,Input1,ultim8x8_libs:header_3pos_smd_male,,CONN HEADER 50POS .100" SGL GOLD,Header, Unshrouded, Male pin,,0.1",,,,,,
P2,Output1,ultim8x8_libs:header_3pos_smd_male,,CONN HEADER 50POS .100" SGL GOLD,Header, Unshrouded, Male pin,,0.1",,,,,,
P5,Input2,ultim8x8_libs:header_3pos_smd_male,,CONN HEADER 50POS .100" SGL GOLD,Header, Unshrouded, Male pin,,0.1",,,,,,
P6,Output2,ultim8x8_libs:header_3pos_smd_male,,CONN HEADER 50POS .100" SGL GOLD,Header, Unshrouded, Male pin,,0.1",,,,,,
P3,5V,ultim8x8_libs:PowerIn_stud,,,,,mfr_pn,,,,,
P4,GND,ultim8x8_libs:PowerIn_stud,,,,,mfr_pn,,,,,
L4,Maniacal Labs,ultim8x8_libs:logo_MLlabs,
L1,ULTiM8x8,ultim8x8_libs:logo_ultim8x8,
U57,APA102,ultim8x8_libs:APA102,,,,,mfr_pn,,,,,
C3,100nF,ultim8x8_libs:c_0805,,CAP CER 0.1UF 25V 10% X7R 0805,100nF, 25V,Surface Mount, MLCC,Value,Kemet,C0805C104K3RACTU,Digikey,399-1168-1-ND,http://www.digikey.com/product-detail/en/C0805C104K3RACTU/399-1168-1-ND/411443
C4,47uF 20V,ultim8x8_libs:c_2917,,CAP ALUM 47UF 8V 20% SMD,47u,8V,2917 (7343 Metric),Value,Panasonic Electronic Components,EEF-CD0K470R,Digikey,PCE3606CT-ND,http://www.digikey.com/product-detail/en/EEF-CD0K470R/PCE3606CT-ND/614442
U58,APA102,ultim8x8_libs:APA102,,,,,mfr_pn,,,,,
U59,APA102,ultim8x8_libs:APA102,,,,,mfr_pn,,,,,
U60,APA102,ultim8x8_libs:APA102,,,,,mfr_pn,,,,,
U61,APA102,ultim8x8_libs:APA102,,,,,mfr_pn,,,,,
U62,APA102,ultim8x8_libs:APA102,,,,,mfr_pn,,,,,
U63,APA102,ultim8x8_libs:APA102,,,,,mfr_pn,,,,,
U64,APA102,ultim8x8_libs:APA102,,,,,mfr_pn,,,,,
U49,APA102,ultim8x8_libs:APA102,,,,,mfr_pn,,,,,
U50,APA102,ultim8x8_libs:APA102,,,,,mfr_pn,,,,,
U51,APA102,ultim8x8_libs:APA102,,,,,mfr_pn,,,,,
U52,APA102,ultim8x8_libs:APA102,,,,,mfr_pn,,,,,
U53,APA102,ultim8x8_libs:APA102,,,,,mfr_pn,,,,,
U54,APA102,ultim8x8_libs:APA102,,,,,mfr_pn,,,,,
U55,APA102,ultim8x8_libs:APA102,,,,,mfr_pn,,,,,
U56,APA102,ultim8x8_libs:APA102,,,,,mfr_pn,,,,,
U41,APA102,ultim8x8_libs:APA102,,,,,mfr_pn,,,,,
U42,APA102,ultim8x8_libs:APA102,,,,,mfr_pn,,,,,
U43,APA102,ultim8x8_libs:APA102,,,,,mfr_pn,,,,,
U44,APA102,ultim8x8_libs:APA102,,,,,mfr_pn,,,,,
U45,APA102,ultim8x8_libs:APA102,,,,,mfr_pn,,,,,
U46,APA102,ultim8x8_libs:APA102,,,,,mfr_pn,,,,,
U47,APA102,ultim8x8_libs:APA102,,,,,mfr_pn,,,,,
U48,APA102,ultim8x8_libs:APA102,,,,,mfr_pn,,,,,
U33,APA102,ultim8x8_libs:APA102,,,,,mfr_pn,,,,,
U34,APA102,ultim8x8_libs:APA102,,,,,mfr_pn,,,,,
U35,APA102,ultim8x8_libs:APA102,,,,,mfr_pn,,,,,
U36,APA102,ultim8x8_libs:APA102,,,,,mfr_pn,,,,,
U37,APA102,ultim8x8_libs:APA102,,,,,mfr_pn,,,,,
U38,APA102,ultim8x8_libs:APA102,,,,,mfr_pn,,,,,
U39,APA102,ultim8x8_libs:APA102,,,,,mfr_pn,,,,,
U40,APA102,ultim8x8_libs:APA102,,,,,mfr_pn,,,,,
U25,APA102,ultim8x8_libs:APA102,,,,,mfr_pn,,,,,
U26,APA102,ultim8x8_libs:APA102,,,,,mfr_pn,,,,,
U27,APA102,ultim8x8_libs:APA102,,,,,mfr_pn,,,,,
U28,APA102,ultim8x8_libs:APA102,,,,,mfr_pn,,,,,
U29,APA102,ultim8x8_libs:APA102,,,,,mfr_pn,,,,,
U30,APA102,ultim8x8_libs:APA102,,,,,mfr_pn,,,,,
U31,APA102,ultim8x8_libs:APA102,,,,,mfr_pn,,,,,
U32,APA102,ultim8x8_libs:APA102,,,,,mfr_pn,,,,,
U17,APA102,ultim8x8_libs:APA102,,,,,mfr_pn,,,,,
U18,APA102,ultim8x8_libs:APA102,,,,,mfr_pn,,,,,
U19,APA102,ultim8x8_libs:APA102,,,,,mfr_pn,,,,,
U20,APA102,ultim8x8_libs:APA102,,,,,mfr_pn,,,,,
U21,APA102,ultim8x8_libs:APA102,,,,,mfr_pn,,,,,
U22,APA102,ultim8x8_libs:APA102,,,,,mfr_pn,,,,,
U23,APA102,ultim8x8_libs:APA102,,,,,mfr_pn,,,,,
U24,APA102,ultim8x8_libs:APA102,,,,,mfr_pn,,,,,
U9,APA102,ultim8x8_libs:APA102,,,,,mfr_pn,,,,,
U10,APA102,ultim8x8_libs:APA102,,,,,mfr_pn,,,,,
U11,APA102,ultim8x8_libs:APA102,,,,,mfr_pn,,,,,
U12,APA102,ultim8x8_libs:APA102,,,,,mfr_pn,,,,,
U13,APA102,ultim8x8_libs:APA102,,,,,mfr_pn,,,,,
U14,APA102,ultim8x8_libs:APA102,,,,,mfr_pn,,,,,
U15,APA102,ultim8x8_libs:APA102,,,,,mfr_pn,,,,,
U16,APA102,ultim8x8_libs:APA102,,,,,mfr_pn,,,,,
C1,100nF,ultim8x8_libs:c_0805,,CAP CER 0.1UF 25V 10% X7R 0805,100nF, 25V,Surface Mount, MLCC,,Kemet,C0805C104K3RACTU,Digikey,399-1168-1-ND,http://www.digikey.com/product-detail/en/C0805C104K3RACTU/399-1168-1-ND/411443
C2,47uF 20V,ultim8x8_libs:c_2917,,CAP ALUM 47UF 8V 20% SMD,47u,8V,2917 (7343 Metric),Value,Panasonic Electronic Components,EEF-CD0K470R,Digikey,PCE3606CT-ND,http://www.digikey.com/product-detail/en/EEF-CD0K470R/PCE3606CT-ND/614442
U1,APA102,ultim8x8_libs:APA102,,,,,mfr_pn,,,,,
U2,APA102,ultim8x8_libs:APA102,,,,,mfr_pn,,,,,
U3,APA102,ultim8x8_libs:APA102,,,,,mfr_pn,,,,,
U4,APA102,ultim8x8_libs:APA102,,,,,mfr_pn,,,,,
U5,APA102,ultim8x8_libs:APA102,,,,,mfr_pn,,,,,
U6,APA102,ultim8x8_libs:APA102,,,,,mfr_pn,,,,,
U7,APA102,ultim8x8_libs:APA102,,,,,mfr_pn,,,,,
U8,APA102,ultim8x8_libs:APA102,,,,,mfr_pn,,,,,
