"Id";"Designator";"Package";"Quantity";"Designation";"Supplier and ref";
1;"L1";"logo_ultim8x8";1;"ULTiM8x8";;;
2;"P3";"PowerIn_stud";1;"5V";;;
3;"P4";"PowerIn_stud";1;"GND";;;
4;"C3,C1";"c_0805";2;"100nF";;;
5;"C2,C4";"c_2917";2;"47uF 20V";;;
6;"P6";"header_3pos_smd_male";1;"Output2";;;
7;"P5";"header_3pos_smd_male";1;"Input2";;;
8;"P2";"header_3pos_smd_male";1;"Output1";;;
9;"P1";"header_3pos_smd_male";1;"Input1";;;
10;"L2";"OSHW_6mm";1;"OSHW";;;
11;"L3";"logo_wyo_butterfly";1;"Wyolum";;;
12;"L4";"logo_MLlabs";1;"Maniacal Labs";;;
13;"U05";"APA102_U05";1;"APA102";;;
14;"U06";"APA102_U06";1;"APA102";;;
15;"U11";"APA102_U11";1;"APA102";;;
16;"U12";"APA102_U12";1;"APA102";;;
17;"U19";"APA102_U19";1;"APA102";;;
18;"U38";"APA102_U38";1;"APA102";;;
19;"U43";"APA102_U43";1;"APA102";;;
20;"U53";"APA102_U53";1;"APA102";;;
21;"U54";"APA102_U54";1;"APA102";;;
22;"U59";"APA102_U59";1;"APA102";;;
23;"U60";"APA102_U60";1;"APA102";;;
24;"U64,U49,U48,U33,U32,U17,U16,U01,U04,U02,U03,U07,U08,U09,U10,U13,U14,U15,U18,U20,U21,U22,U23,U24,U25,U26,U27,U28,U29,U30,U31,U34,U35,U36,U37,U39,U40,U41,U42,U44,U45,U46,U47,U50,U51,U52,U55,U56,U57,U58,U61,U62,U63";"APA102";53;"APA102";;;
